sample_id,clim_precip,clim_temp,soil_texture,topo_elevation,topo_slope
169,0.1202889473111753,290.60059736070787,8,62,0.0
170,0.1236785331307599,290.9106317993343,8,54,1.8543341
171,0.1223551469406251,290.7041743287426,8,50,0.92740995
172,0.1222970402029311,290.84309308685613,8,47,0.92740995
173,0.1209441669942027,291.3806113947582,5,31,3.5532355
174,0.1163940733603203,290.37013265675773,6,60,0.92740995
175,0.1149810997229618,290.2730284322714,8,65,0.0
176,0.1116946865787049,289.4006702963641,8,71,2.4686904
177,0.1085196036831254,289.3382763736757,8,106,3.5490563
178,0.1218767533501946,290.9678289745118,7,46,4.351257
179,0.1220735232376945,290.8757773055043,4,47,2.425126
180,0.1226394656301932,290.82510415157685,4,45,2.909622
181,0.1253665301167426,291.0841522775885,8,50,1.450962
182,0.1105358749724272,289.13347145096225,8,79,5.0456095
183,0.1105363517260778,290.0068133543833,8,169,6.84791
184,0.1181927912923822,290.4753791907465,8,63,1.4623243
185,0.122268832544724,290.86771673432986,8,46,4.326931
186,0.107782270788865,289.0277401325173,8,204,2.9455447
187,0.1191140004656886,290.5255321566063,8,60,1.461307
188,0.1091019683477675,289.4341148342145,8,162,7.0696487
189,0.1131673429605626,290.1800192713948,7,60,4.392113
190,0.1230421957870324,290.9847661355519,7,47,2.7802885
191,0.1198804300029557,290.57555132507605,8,64,1.4604852
192,0.1202850566963645,290.5847549789178,8,55,2.4379687
193,0.1223708889437827,291.20868263051,8,38,2.7802885
194,0.1092808142959687,289.5804535145013,8,85,6.3260975
195,0.124595254195734,290.94933068180165,8,53,1.1192658
196,0.1223289503429934,290.7641158564025,7,49,3.4929574
197,0.1126489477496857,289.9642239660121,7,63,0.92740995
198,0.1203931306031809,290.5990198710164,8,54,2.4376054
199,0.1120581596940746,290.10965839210195,7,161,2.9329624
200,0.1221284569275848,291.04482306703306,5,35,2.8993378
201,0.1115961843695021,290.0537759543683,8,70,3.0032265
202,0.124252621275946,290.9516416506955,8,53,1.1191962
203,0.1244692301212441,291.1707240842144,8,41,0.0
204,0.11178116047876,289.7952378549993,8,75,4.556831
205,0.1231604780377155,290.94716661600955,7,48,1.453387
206,0.1224174818484001,290.9922326307144,4,45,1.4524553
207,0.1140007119149372,290.2251449711615,8,83,0.0
208,0.1226710774333636,290.7050331841654,8,58,2.1685872
209,0.1078572515064292,289.06063307250065,8,208,10.234659
210,0.1111489632708949,290.0337054102147,7,69,3.879958
211,0.1224071781580691,290.74584077096176,8,58,0.92740995
212,0.1113061491263285,289.35540603269163,8,102,1.144763
213,0.1255488759275339,291.0075223217763,8,52,1.4523066
214,0.1136449819380602,290.20460965633987,8,71,1.1372865
215,0.1209137738900942,290.6368781482864,8,65,1.4593725
216,0.1186953048593308,290.50117788490104,8,70,2.1703296
217,0.1092749735234113,289.12120978008505,7,73,3.7047918
218,0.1170425793509894,290.4069084608024,8,73,4.5108957
219,0.1166697434141786,290.38429042242376,8,73,0.92740995
220,0.1220421629124468,290.822489317662,8,51,2.9976454
221,0.1219899130820298,290.8308747827525,8,52,1.4556724
222,0.1102395400771609,289.6515343558186,7,70,0.92740995
223,0.1207196904093213,290.62774052072353,8,59,1.459562
224,0.1224622906700634,290.9924093491372,5,44,3.3506677
225,0.1093696619981918,289.44101179275737,8,104,2.285373
226,0.1219785747645951,290.6875676393149,8,54,0.92740995
227,0.124143174067015,291.03603824453575,6,44,2.2333672
228,0.1223171371660816,290.7655226705699,7,48,4.3296223
229,0.1220365197609913,290.83224652311674,8,48,2.4272351
230,0.1101484601729848,289.7312804767048,7,66,2.9388914
231,0.1202743979197496,290.5969718259688,8,60,2.1700108
232,0.1124910538917498,289.79430072496206,7,65,1.8543341
233,0.1160737722910163,290.34943932325467,8,112,2.1731284
234,0.1210378233446481,290.6344768582927,8,53,2.25301
235,0.1126459980642654,289.9805825714172,7,66,0.0
236,0.1210181561483168,290.6248758227544,8,55,1.4594191
237,0.1219260316025232,290.9254330244013,2,48,1.1197171
238,0.1092356640330711,289.2688880864822,8,68,1.1444218
239,0.1222134383909039,290.8296652250413,8,48,0.92740995
240,0.1230501818587657,290.80113393935306,8,54,1.1228456
241,0.1116398108640173,290.08884923369794,8,143,2.456474
242,0.1234477700439752,290.80071236096825,8,59,0.92740995
243,0.119912916550507,290.56127177308235,8,68,0.92740995
244,0.1114218446163066,289.64730218610777,8,75,2.1776073
245,0.110135709677767,289.4530805105025,8,74,2.1780968
246,0.1121723065179097,289.99226764871094,8,72,1.4695038
247,0.1235230466812062,291.50250901437823,4,33,2.7802885
248,0.1187033454065443,290.5053817320767,7,58,3.8724008
249,0.1248820945768114,290.9593032992643,8,52,2.2370632
250,0.1095921229156022,289.5218242797867,7,74,1.4714653
251,0.127195415656261,291.1609783243799,8,59,1.4496686
252,0.1248478592790323,291.1035383140101,8,45,1.1155308
253,0.1274083702266606,291.2007260814712,8,53,3.867617
254,0.1122877860607911,289.78330028229664,8,64,1.4708197
255,0.1121410966584868,289.6535564080258,7,70,1.4715737
256,0.1127731390023972,290.135158240409,8,61,0.0
257,0.1219821945468968,290.99611846957106,7,40,1.4518527
258,0.1221038322493116,290.7281390262525,8,47,0.92740995
259,0.1225610510038247,290.9728909603972,8,45,2.4205377
260,0.1107949437720398,289.4221439196472,8,76,2.46754
261,0.1257056990721264,291.06949547201475,8,49,0.0
262,0.1190904524859385,290.5176785998356,8,54,1.1295133
263,0.1251849735391058,290.968470453196,1,54,1.8543341
264,0.1254108698192267,291.1883028560327,8,41,0.92740995
